,u,v,distance(m),street type,speed(km/h)
0,711327755,711332946,58.0,1,15.0
2,711327755,55725841,15.0,2,20.0
3,711327755,711327760,165.0,1,15.0
4,711327756,703557073,4.0,0,10.0
5,711327756,711332946,8.0,1,15.0
7,711327756,711331420,44.0,0,10.0
8,711327759,711331451,8.0,2,20.0
10,711327759,703557072,5.0,1,15.0
11,711327759,711331434,32.0,0,10.0
12,711327760,603633283,14.0,2,20.0
13,711327760,711331451,59.0,0,10.0
15,711327760,711327755,165.0,2,20.0
16,777781264,777781181,14.0,0,10.0
17,777781264,387153082,14.0,1,15.0
18,711327758,711334152,7.0,0,10.0
20,711327758,277517039,3.0,2,20.0
22,164102232,664379095,33.0,1,15.0
24,26476632,242399609,391.0,2,20.0
25,26476632,26476659,156.0,0,10.0
26,26476637,1883787496,290.0,0,10.0
27,356125087,356124993,107.0,1,15.0
28,356125087,269327461,97.0,1,15.0
29,356125087,356125211,45.0,1,15.0
30,26476659,452327956,368.0,1,15.0
31,26476659,26476642,244.0,1,15.0
32,123338879,1201417396,12.0,0,10.0
33,123338879,123351761,70.0,0,10.0
34,123338879,949544827,16.0,2,20.0
35,560988348,122765960,5.0,2,20.0
36,560988348,531390737,5.0,2,20.0
37,560988348,758611953,66.0,0,10.0
38,560988354,560988348,86.0,2,20.0
39,560988354,554240025,4.0,2,20.0
40,560988354,2347007247,5.0,0,10.0
41,560988353,844501003,4.0,1,15.0
42,560988353,2347007251,5.0,0,10.0
43,560988353,3810637310,12.0,1,15.0
44,4733403342,3112130621,8.0,1,15.0
45,4733403342,4733403343,31.0,1,15.0
46,4733403342,3112130620,46.0,1,15.0
47,4733403343,4733403342,31.0,1,15.0
48,367132897,306067099,53.0,0,10.0
49,367132897,6207245784,58.0,1,15.0
50,579993929,579993932,22.0,0,10.0
51,579993929,579994432,29.0,1,15.0
52,579993929,579989632,76.0,2,20.0
53,579993932,579993929,22.0,1,15.0
54,579993932,579994885,31.0,1,15.0
55,579993932,579994804,32.0,2,20.0
56,767820114,767820210,81.0,0,10.0
57,767820114,767820372,26.0,1,15.0
58,767820114,368389680,56.0,0,10.0
59,767820114,368390159,89.0,0,10.0
60,552599908,233274996,41.0,2,20.0
61,552599908,552599910,80.0,2,20.0
62,552599908,596044684,69.0,1,15.0
63,552599910,233275064,40.0,1,15.0
64,552599910,552599908,80.0,0,10.0
65,711328116,711328222,90.0,1,15.0
66,711328116,711328221,87.0,1,15.0
67,711328116,708721951,10.0,1,15.0
68,711328116,3998393838,19.0,2,20.0
69,1496842667,576860104,58.0,0,10.0
70,1496842667,2977758614,58.0,1,15.0
71,591397296,4520380454,7.0,2,20.0
72,591397296,591396149,26.0,0,10.0
73,767820210,368390158,39.0,2,20.0
74,767820210,767820114,81.0,1,15.0
75,767820210,368389680,127.0,0,10.0
76,711328220,711328221,11.0,1,15.0
77,711328221,711328116,87.0,1,15.0
78,711328221,711328220,11.0,0,10.0
79,711328221,708717124,15.0,1,15.0
80,711328221,708721952,11.0,2,20.0
81,711328222,711328116,90.0,1,15.0
82,711328222,387153106,79.0,1,15.0
83,767820372,767820114,26.0,0,10.0
84,6226313833,575570532,56.0,0,10.0
85,6226313833,746924730,11.0,2,20.0
86,6226313833,746924716,19.0,1,15.0
87,6226313835,1450727063,4.0,2,20.0
