order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDI07491,2021-05-12,12:13:31,Lunch,NS,"[('Salad', 10), ('Burger', 9)]",451.0,-37.8175358,144.9683719,0,8.733,14.5166062
ORDY05683,2021-05-25,12:43:56,Lunch,TP,"[('Salad', 8), ('Steak', 3), ('Fries', 4), ('Burger', 2), ('Chicken', 8)]",638.6,-37.8126475,144.9831156,0,9.292,12.2100808
ORDZ02868,2021-10-23,17:48:10,Dinner,NS,"[('Fish&Chips', 2), ('Pasta', 3), ('Shrimp', 1), ('Salmon', 5)]",411.5,-37.8170339,144.9532569,0,8.955,16.5735912
ORDB00816,2021-02-25,09:41:24,Breakfast,TP,"[('Cereal', 8), ('Pancake', 1), ('Coffee', 8)]",226.25,-37.8153413,144.9511735,0,8.964,11.8049871
ORDZ05758,2021-06-15,13:24:30,Lunch,NS,"[('Steak', 6), ('Salad', 6), ('Burger', 6), ('Fries', 5), ('Chicken', 8)]",875.2,-37.8035879,144.9767576,0,6.929,12.4767934
ORDJ08175,2021-07-16,14:25:21,Lunch,TP,"[('Steak', 2), ('Fries', 10)]",210.0,-37.8152092,144.9747566,0,8.437,11.6178343
ORDB06067,2021-06-03,13:04:13,Lunch,TP,"[('Salad', 4), ('Chicken', 8), ('Fries', 7), ('Steak', 9), ('Burger', 2)]",875.8,-37.8148086,144.9357019,0,10.686,14.3318749
ORDZ07703,2021-05-04,12:03:22,Lunch,NS,"[('Fries', 6), ('Steak', 7)]",387.0,-37.8123879,144.9738407,0,7.588,12.9761039
ORDC00547,2021-11-06,18:18:35,Dinner,NS,"[('Shrimp', 10), ('Salmon', 6), ('Pasta', 3), ('Fish&Chips', 2)]",938.5,-37.8192205,144.9529847,0,9.279,16.5205153
ORDA02797,2021-09-06,16:16:54,Dinner,BK,"[('Pasta', 4), ('Shrimp', 6), ('Salmon', 9)]",803.0,-37.8226294,144.9519158,0,8.962,15.3010187
ORDB08143,2021-11-02,18:08:27,Dinner,TP,"[('Pasta', 7), ('Shrimp', 2), ('Salmon', 2)]",382.5,-37.8065207,144.944874,0,10.082,14.6083506
ORDJ03140,2021-10-21,17:38:01,Dinner,TP,"[('Fish&Chips', 10), ('Salmon', 2), ('Shrimp', 1)]",486.0,-37.8130519,144.9739889,0,8.649,12.9251637
ORDB07932,2021-05-12,12:23:39,Lunch,TP,"[('Steak', 2), ('Fries', 10), ('Chicken', 4)]",338.0,-37.8189253,144.9661161,0,7.474,11.1819639
ORDY01294,2021-04-27,11:43:05,Breakfast,TP,"[('Coffee', 7), ('Eggs', 9), ('Cereal', 2), ('Pancake', 1)]",289.75,-37.8045393,144.9281603,0,11.396,13.9230133
ORDX03394,2021-11-01,18:08:27,Dinner,BK,"[('Salmon', 8), ('Fish&Chips', 8), ('Shrimp', 5), ('Pasta', 2)]",933.0,-37.815595,144.9582182,0,8.196,15.4897109
ORDX10877,2021-12-16,19:39:43,Dinner,BK,"[('Pasta', 8), ('Fish&Chips', 8)]",500.0,-37.8123041,144.9736425,0,6.784,13.3547729
ORDK04921,2021-06-20,13:34:38,Lunch,BK,"[('Steak', 9), ('Fries', 9)]",513.0,-37.8041779,144.9585033,0,7.918,16.3212652
ORDA10098,2021-12-24,19:49:51,Dinner,BK,"[('Fish&Chips', 7), ('Shrimp', 2)]",353.0,-37.8149478,144.9608489,0,7.952,15.3269934
ORDK07772,2021-02-09,09:10:59,Breakfast,BK,"[('Coffee', 2), ('Cereal', 6), ('Eggs', 2), ('Pancake', 8)]",351.0,-37.8179312,144.9934494,0,5.363,10.1010122
ORDI01759,2021-08-07,15:16:03,Lunch,NS,"[('Chicken', 2), ('Steak', 4)]",244.0,-37.8179188,144.9511826,0,9.187,16.3601149
